Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 06:28",18628.25,18632.5,18623.75,18625.5,1547,1273,976.0,836.0,390.0,364.0
"2024/09/09, 06:29",18625.5,18634.25,18622.0,18629.25,1851,2004,1262.0,1486.0,454.0,447.0
"2024/09/09, 06:30",18629.5,18630.75,18605.0,18621.75,5528,5560,3676.0,3543.0,303.0,404.0
"2024/09/09, 06:31",18621.75,18640.5,18617.5,18632.25,5017,6092,3238.0,4235.0,354.0,392.0
"2024/09/09, 06:32",18632.25,18643.75,18624.75,18642.0,3810,4486,2469.0,3074.0,344.0,699.0
"2024/09/09, 06:33",18642.0,18661.0,18639.25,18656.5,5388,6431,3655.0,4504.0,351.0,522.0
"2024/09/09, 06:34",18656.5,18664.75,18649.0,18657.5,4070,4081,2651.0,2729.0,409.0,495.0
"2024/09/09, 06:35",18657.5,18662.5,18645.25,18658.0,3963,3880,2633.0,2590.0,346.0,551.0
"2024/09/09, 06:36",18658.0,18661.5,18637.0,18643.0,3751,3515,2571.0,2169.0,438.0,418.0
"2024/09/09, 06:37",18642.75,18659.75,18642.0,18652.0,3633,3667,2322.0,2468.0,400.0,473.0
"2024/09/09, 06:38",18652.0,18659.25,18642.0,18658.25,3122,2883,2130.0,1992.0,358.0,622.0
"2024/09/09, 06:39",18658.75,18675.0,18652.5,18661.0,3885,5156,2694.0,3561.0,389.0,392.0
"2024/09/09, 06:40",18661.25,18665.75,18634.25,18645.25,5874,4587,4044.0,3110.0,442.0,375.0
"2024/09/09, 06:41",18645.5,18662.0,18636.0,18658.0,3498,3525,2310.0,2319.0,379.0,436.0
"2024/09/09, 06:42",18657.5,18665.0,18646.0,18652.0,3086,2757,2127.0,1863.0,403.0,420.0
"2024/09/09, 06:43",18651.25,18663.0,18649.75,18659.0,2210,2427,1413.0,1569.0,385.0,443.0
"2024/09/09, 06:44",18659.5,18667.5,18648.0,18654.5,3181,3109,2137.0,2052.0,420.0,406.0
"2024/09/09, 06:45",18654.75,18664.0,18649.0,18650.5,3152,2815,2138.0,1854.0,495.0,358.0
"2024/09/09, 06:46",18651.0,18663.0,18644.75,18655.0,2990,2808,2010.0,1798.0,345.0,511.0
"2024/09/09, 06:47",18655.0,18667.0,18647.5,18656.75,3242,3869,2216.0,2812.0,430.0,448.0
"2024/09/09, 06:48",18656.75,18656.75,18636.5,18637.75,4090,2587,2889.0,1659.0,517.0,397.0
